ticket,cost,month,location_from,location_to,duration,distance,assistance,energy_used,energy_collected
season,0.0,6,TORI,TORI,39,0,0,0.0,0.0
season,0.0,6,MICROTEKNIA,TORI,1072,3090,0,0.0,7.5
season,0.0,5,TEATTERI,TORI,143,710,1,2.7,1.2
single,0.05,6,TORI,TORI,4,0,0,0.0,0.0
single,0.7,8,RYPYSUO,TORI,797,4240,1,27.7,17.4
season,0.0,6,UIMAHALLI,UIMAHALLI,145,0,1,0.0,0.0
single,0.35,7,TORI,VÄINÖLÄNNIEMI,360,1530,1,7.4,7.2
single,0.65,10,SATAMA,KYS,757,2780,1,35.8,3.0
season,0.0,5,TEATTERI,TORI,264,720,1,3.0,1.5
single,1.25,7,PETONEN,SNELLMANIA,1463,7760,1,60.7,15.0
single,0.15,7,VÄINÖLÄNNIEMI,SATAMA,174,660,1,2.7,0.9
single,0.25,7,TORI,SATAMA,267,950,0,0.0,7.8
single,0.4,7,VÄINÖLÄNNIEMI,TORI,476,1810,1,21.0,4.8
season,0.0,6,UIMAHALLI,TORI,317,910,1,6.5,4.5
single,0.2,6,SATAMA,VÄINÖLÄNNIEMI,186,670,1,4.1,0.3
single,0.4,5,TEATTERI,TEATTERI,456,0,1,0.0,0.0
season,0.0,6,SATAMA,TORI,247,940,1,10.5,2.1
single,0.05,8,TORI,TORI,9,0,1,0.0,0.0
savonia,0.0,9,TORI,MICROTEKNIA,649,3020,1,20.4,9.0
season,0.0,4,SNELLMANIA,TORI,614,2640,1,20.2,5.1
season,0.0,7,MICROTEKNIA,MICROTEKNIA,609,750,0,0.0,4.8
savonia,0.0,10,TORI,SNELLMANIA,560,2630,1,14.8,5.1
season,0.0,7,TORI,TORI,56,0,1,0.0,0.0
single,0.05,5,TORI,TORI,12,0,0,0.0,0.0
single,0.4,9,UIMAHALLI,SNELLMANIA,421,1770,1,8.9,3.0
single,0.1,5,MICROTEKNIA,MICROTEKNIA,99,50,1,0.8,0.0
single,0.05,8,TORI,TORI,8,0,1,0.0,0.0
season,0.0,9,MICROTEKNIA,SNELLMANIA,126,440,1,1.2,5.4
season,0.0,5,TORI,SATAMA,360,920,0,0.0,5.4
season,0.0,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,4,0,0,0.0,0.0
savonia,0.0,9,MICROTEKNIA,TORI,941,3260,1,29.1,10.5
season,0.0,6,TORI,TORI,2,0,0,0.0,0.0
single,0.1,5,TORI,TORI,76,50,1,0.3,0.0
single,0.1,5,SATAMA,SATAMA,80,0,1,0.0,0.0
single,0.05,6,TORI,TORI,6,0,0,0.0,0.0
single,0.1,5,TORI,TORI,119,0,1,0.0,0.0
single,0.05,7,TORI,TORI,6,0,0,0.0,0.0
single,0.2,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,198,0,1,0.0,0.0
single,0.9,10,SNELLMANIA,TORI,1031,2580,1,29.8,6.3
season,0.0,7,SATAMA,TORI,1465,4520,1,38.7,7.8
season,0.0,7,VÄINÖLÄNNIEMI,TORI,513,1770,1,19.1,0.6
single,0.05,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,44,0,0,0.0,0.0
single,0.35,10,KYS,MICROTEKNIA,417,1460,1,9.7,1.8
single,0.3,7,SATAMA,VÄINÖLÄNNIEMI,316,720,1,4.4,1.5
season,0.0,7,SATAMA,SATAMA,87,70,1,0.5,0.0
single,0.05,8,TEATTERI,TEATTERI,5,0,0,0.0,0.0
season,0.0,8,UIMAHALLI,RYPYSUO,1387,4790,1,70.7,29.7
single,0.2,7,VÄINÖLÄNNIEMI,SATAMA,205,690,0,0.0,0.0
season,0.0,5,TORI,TORI,146,0,1,0.0,0.0
single,0.3,5,TORI,SATAMA,336,870,0,0.0,3.9
single,0.05,5,TORI,TORI,44,0,1,0.0,0.0
season,0.0,6,TORI,VÄINÖLÄNNIEMI,333,1480,1,9.1,6.3
season,0.0,7,SNELLMANIA,SNELLMANIA,129,0,1,0.0,0.0
single,0.05,5,SNELLMANIA,SNELLMANIA,45,0,1,0.0,0.0
single,0.05,7,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,16,0,1,0.0,0.0
single,0.7,8,TORI,RYPYSUO,823,4320,1,34.7,4.8
single,0.4,7,TEATTERI,MICROTEKNIA,447,2390,1,13.2,7.2
season,0.0,5,UIMAHALLI,UIMAHALLI,14,0,1,0.0,0.0
season,0.0,9,TEATTERI,TORI,1538,3000,1,22.7,7.5
season,0.0,8,PETONEN,PETONEN,17,0,1,0.0,0.0
savonia,0.0,9,SNELLMANIA,MICROTEKNIA,201,700,1,8.1,0.0
single,0.6,10,SNELLMANIA,TORI,672,2600,1,23.0,5.7
season,0.0,6,SATAMA,TORI,344,940,0,0.0,0.0
savonia,0.0,10,TEATTERI,RYPYSUO,969,4830,1,41.7,8.7
single,0.05,9,TORI,TORI,4,0,1,0.0,0.0
season,0.0,6,TORI,SNELLMANIA,1375,3660,0,0.0,11.4
savonia,0.0,10,SATAMA,SNELLMANIA,1242,3630,1,28.1,10.2
season,0.0,6,MICROTEKNIA,UIMAHALLI,788,2610,0,0.0,5.4
season,0.0,4,TORI,TEATTERI,499,740,1,6.0,0.6
season,0.0,5,PETONEN,PETONEN,1356,1660,1,15.0,6.3
single,0.4,5,TEATTERI,SATAMA,441,1640,0,0.0,6.9
savonia,0.0,10,SATAMA,MICROTEKNIA,1115,4370,1,41.7,9.0
savonia,0.0,10,SATAMA,KYS,640,2810,1,30.7,2.1
single,0.1,6,UIMAHALLI,UIMAHALLI,96,0,1,0.0,0.0
savonia,0.0,10,TORI,MICROTEKNIA,773,3010,1,18.8,7.5
single,1.15,6,VÄINÖLÄNNIEMI,TORI,1332,5810,1,46.4,11.7
single,0.55,10,SATAMA,KYS,609,2840,1,25.6,4.8
season,0.0,9,VÄINÖLÄNNIEMI,TORI,849,1830,1,26.7,1.2
savonia,0.0,10,MICROTEKNIA,SNELLMANIA,163,580,1,2.4,7.5
single,0.4,10,KYS,TORI,466,1810,1,9.7,5.1
savonia,0.0,10,TORI,KYS,431,1880,1,13.4,3.6
savonia,0.0,10,TORI,SATAMA,301,930,1,5.8,7.8
single,0.3,6,TORI,TORI,348,780,1,1.9,3.3
savonia,0.0,9,VÄINÖLÄNNIEMI,TORI,420,1580,1,17.1,1.5
single,0.25,10,KYS,SNELLMANIA,264,1070,1,3.2,3.6
season,0.0,7,TORI,TORI,155,0,1,0.0,0.0
single,0.1,6,MICROTEKNIA,MICROTEKNIA,103,0,1,0.0,0.0
season,0.0,7,RYPYSUO,MICROTEKNIA,774,4430,1,25.4,2.4
single,2.5,6,PETONEN,PETONEN,2943,11980,1,81.8,18.0
season,0.0,6,MICROTEKNIA,MICROTEKNIA,143,0,1,0.0,0.0
single,1.15,6,MICROTEKNIA,SNELLMANIA,1361,5540,1,22.7,25.5
single,0.05,4,TORI,TORI,9,0,0,0.0,0.0
single,0.2,10,TEATTERI,TORI,219,700,1,4.3,2.4
single,0.55,10,TORI,SNELLMANIA,650,2570,1,12.1,3.9
season,0.0,7,MICROTEKNIA,TORI,715,3050,1,23.2,13.2
single,0.3,6,TORI,SATAMA,326,990,1,4.7,4.8
season,0.0,9,KYS,TORI,510,2310,1,18.5,3.9
single,0.1,9,MICROTEKNIA,MICROTEKNIA,73,50,1,0.5,0.0
single,0.15,8,RYPYSUO,RYPYSUO,174,100,1,1.9,0.3
season,0.0,7,TEATTERI,TEATTERI,242,700,0,0.0,2.1
season,0.0,6,SATAMA,SATAMA,59,0,1,0.0,0.0
season,0.0,6,KYS,TORI,422,1840,1,12.1,5.1
single,0.35,6,VÄINÖLÄNNIEMI,TORI,369,1620,1,14.2,3.9
single,0.5,5,SATAMA,TORI,556,930,1,11.7,1.2
season,0.0,5,TEATTERI,TEATTERI,32,0,1,0.0,0.0
season,0.0,8,KYS,TORI,896,2100,1,14.5,1.8
single,0.8,7,RYPYSUO,TORI,946,4430,1,33.0,23.7
single,0.05,5,TORI,TORI,57,0,0,0.0,0.0
season,0.0,10,TORI,VÄINÖLÄNNIEMI,305,1480,1,5.8,10.5
single,0.1,6,TORI,TORI,61,0,1,0.0,0.0
single,1.35,8,SATAMA,SATAMA,1577,6570,1,43.8,6.0
season,0.0,5,SNELLMANIA,SNELLMANIA,30,0,0,0.0,0.0
single,1.2,5,TEATTERI,SATAMA,1403,6360,1,31.4,29.7
season,0.0,8,TEATTERI,TORI,246,710,1,4.6,1.5
single,1.7,7,VÄINÖLÄNNIEMI,TEATTERI,2005,5470,1,66.1,8.1
single,0.1,7,SATAMA,SATAMA,106,0,1,0.0,0.0
single,0.4,5,UIMAHALLI,SATAMA,429,1840,1,10.3,3.6
season,0.0,9,RYPYSUO,VÄINÖLÄNNIEMI,1338,6120,1,43.8,9.9
season,0.0,7,SATAMA,TORI,366,900,1,9.2,0.3
season,0.0,5,RYPYSUO,RYPYSUO,1532,2020,1,20.9,18.6
season,0.0,5,TORI,SATAMA,221,920,1,5.4,9.3
season,0.0,8,TEATTERI,TEATTERI,45,20,1,0.4,0.0
season,0.0,8,SATAMA,TORI,288,940,1,12.7,0.6
single,0.05,8,TORI,TORI,44,0,1,0.0,0.0
single,1.8,6,KYS,PETONEN,2152,8420,1,53.4,12.6
single,0.45,10,KYS,TORI,512,1920,1,12.8,5.4
single,0.15,6,TORI,TORI,178,20,1,0.0,0.0
savonia,0.0,10,TORI,UIMAHALLI,277,910,0,0.0,0.0
single,0.15,8,SATAMA,SATAMA,128,0,1,0.0,0.0
single,0.65,6,TORI,MICROTEKNIA,758,3150,1,25.1,7.5
single,0.4,7,SATAMA,TORI,437,1170,0,0.0,0.0
savonia,0.0,10,SATAMA,KYS,679,2730,1,22.2,3.6
single,0.15,8,TORI,TEATTERI,168,710,1,6.0,1.2
single,0.5,7,TORI,SNELLMANIA,578,2680,1,14.3,9.9
single,0.5,5,VÄINÖLÄNNIEMI,TORI,567,1920,1,19.8,3.9
single,0.6,9,KYS,TEATTERI,677,0,1,0.0,0.0
season,0.0,5,TEATTERI,TORI,287,730,1,3.7,0.9
single,0.35,6,VÄINÖLÄNNIEMI,TORI,414,1620,1,13.6,2.7
single,3.55,6,TORI,TORI,4206,5740,0,0.0,13.5
season,0.0,5,SATAMA,SATAMA,4,0,0,0.0,0.0
single,0.95,5,SATAMA,TEATTERI,1080,1960,1,22.4,1.2
season,0.0,8,VÄINÖLÄNNIEMI,TORI,1108,2080,1,19.8,3.6
single,2.5,5,TORI,TORI,2966,10080,0,0.0,21.9
single,0.5,9,SNELLMANIA,TEATTERI,568,1890,1,14.9,4.2
season,0.0,5,KYS,KYS,25,0,1,0.0,0.0
season,0.0,7,TORI,TEATTERI,243,740,1,9.8,0.9
single,1.0,5,SATAMA,MICROTEKNIA,1171,4230,1,32.3,7.2
single,0.4,5,TORI,KYS,426,1830,1,6.3,1.8
single,0.45,5,TORI,VÄINÖLÄNNIEMI,525,1770,1,8.2,9.0
season,1.0,7,UIMAHALLI,RYPYSUO,2946,6000,1,47.8,15.9
season,0.0,5,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,910,1040,1,10.5,2.4
single,0.05,8,TORI,TORI,3,0,0,0.0,0.0
season,0.0,7,TORI,SATAMA,348,1110,0,0.0,2.7
single,0.05,7,RYPYSUO,RYPYSUO,23,0,0,0.0,0.0
single,0.25,5,TORI,SATAMA,269,920,1,4.2,5.7
season,0.0,5,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,50,40,0,0.0,0.0
single,0.4,9,SATAMA,SATAMA,443,2030,1,16.0,1.2
savonia,0.0,10,TORI,TORI,726,940,1,13.0,3.0
single,0.2,7,VÄINÖLÄNNIEMI,SATAMA,217,790,0,0.0,0.6
season,0.0,6,TORI,TORI,969,1700,1,21.2,9.3
savonia,0.0,10,MICROTEKNIA,MICROTEKNIA,589,1880,1,19.5,9.0
season,0.0,7,MICROTEKNIA,SATAMA,1074,4720,1,26.4,21.0
single,0.65,4,TORI,MICROTEKNIA,752,3100,1,22.4,8.7
season,0.0,5,TEATTERI,TORI,235,710,1,3.7,2.1
single,2.4,6,VÄINÖLÄNNIEMI,MICROTEKNIA,2820,7620,1,57.2,25.8
single,0.8,4,RYPYSUO,SNELLMANIA,919,4330,1,24.3,9.6
season,0.0,9,MICROTEKNIA,SNELLMANIA,120,460,1,1.9,6.3
season,0.0,6,TORI,KYS,419,1910,1,14.1,4.2
single,0.5,6,VÄINÖLÄNNIEMI,TORI,551,1610,1,19.4,1.2
single,0.5,6,MICROTEKNIA,UIMAHALLI,576,2310,1,19.0,8.4
savonia,0.0,9,TEATTERI,TORI,226,690,1,3.3,1.8
season,0.0,5,RYPYSUO,RYPYSUO,422,1280,1,13.6,6.0
season,0.0,9,TORI,SATAMA,201,950,1,4.0,5.1
season,0.0,6,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,919,3660,1,25.1,10.5
single,0.55,7,TORI,TORI,608,1550,1,14.5,5.7
season,0.0,6,KYS,KYS,6,0,1,0.0,0.0
single,0.35,7,VÄINÖLÄNNIEMI,TORI,398,1610,0,0.0,0.0
single,0.05,7,SATAMA,SATAMA,6,0,0,0.0,0.0
season,0.0,8,SNELLMANIA,TORI,507,2680,1,8.9,7.2
season,0.0,7,TORI,TORI,18,0,0,0.0,0.0
single,0.05,6,TORI,TORI,32,0,1,0.0,0.0
single,0.35,7,TORI,SATAMA,414,1270,1,5.8,8.1
single,0.1,6,SATAMA,SATAMA,95,0,0,0.0,0.0
single,0.5,9,SNELLMANIA,TORI,581,2520,1,17.2,3.9
season,0.0,5,MICROTEKNIA,SATAMA,950,4040,1,30.0,13.5
single,0.1,8,SATAMA,SATAMA,86,130,1,1.3,0.3
season,0.0,7,TORI,TORI,88,0,1,0.0,0.0
season,0.0,5,TORI,TORI,451,910,0,0.0,0.9
season,0.0,7,MICROTEKNIA,SNELLMANIA,119,440,1,1.1,8.1
season,0.0,5,TORI,TORI,332,580,0,0.0,2.4
savonia,0.0,9,TEATTERI,RYPYSUO,1500,4810,0,0.0,15.6
season,0.0,6,TORI,MICROTEKNIA,586,3110,1,19.8,3.3
single,0.65,5,KYS,RYPYSUO,768,3940,1,24.0,10.8
single,0.95,8,TEATTERI,TEATTERI,1083,4380,1,42.3,20.7
single,0.45,5,TORI,KYS,491,2060,1,17.4,6.3
single,0.9,8,TORI,SATAMA,1047,930,1,3.1,4.5
season,0.0,6,KYS,TORI,661,2220,1,14.6,6.0
season,0.0,7,MICROTEKNIA,TORI,657,3070,1,24.7,6.6
single,0.05,6,TORI,TORI,55,100,1,0.9,0.0
season,0.0,10,TORI,VÄINÖLÄNNIEMI,399,1540,1,11.6,6.6
season,0.0,7,TORI,TORI,17,0,1,0.0,0.0
season,0.0,7,TEATTERI,TEATTERI,15,0,1,0.0,0.0
savonia,0.0,9,TORI,TEATTERI,201,710,1,4.2,0.0
season,0.0,8,RYPYSUO,KYS,660,3100,1,31.5,16.2
savonia,0.0,10,SNELLMANIA,MICROTEKNIA,140,460,1,7.2,0.6
single,0.05,7,MICROTEKNIA,MICROTEKNIA,32,0,1,0.0,0.0
single,0.1,6,SNELLMANIA,SNELLMANIA,67,0,1,0.0,0.0
single,0.7,8,MICROTEKNIA,TORI,799,3150,1,23.9,9.9
single,0.45,7,SNELLMANIA,TEATTERI,506,2000,1,15.2,5.1
single,0.3,5,TORI,SATAMA,358,940,1,4.7,4.5
season,0.0,5,SATAMA,SATAMA,3,0,0,0.0,0.0
single,0.25,10,SATAMA,TORI,271,950,1,15.9,1.5
season,0.0,7,SNELLMANIA,TORI,583,2670,1,21.5,5.1
single,0.25,7,SATAMA,VÄINÖLÄNNIEMI,298,800,0,0.0,0.9
single,0.9,5,TEATTERI,RYPYSUO,1075,1850,0,0.0,0.0
season,0.0,9,TORI,TORI,15,0,1,0.0,0.0
season,0.0,6,VÄINÖLÄNNIEMI,TORI,670,1700,1,19.3,2.7
savonia,0.0,10,TORI,TORI,846,1740,1,17.0,3.3
single,0.25,6,VÄINÖLÄNNIEMI,SATAMA,253,670,1,4.9,0.0
season,0.0,7,TEATTERI,SNELLMANIA,845,2160,0,0.0,11.4
season,0.0,5,MICROTEKNIA,TORI,632,3080,1,16.8,12.6
savonia,0.0,10,TORI,TORI,1035,900,0,0.0,0.6
single,0.25,6,TORI,SATAMA,274,930,0,0.0,8.1
season,0.0,6,TEATTERI,TORI,207,710,0,0.0,2.7
season,0.0,6,VÄINÖLÄNNIEMI,TORI,901,2460,1,20.2,14.4
single,0.05,8,KYS,KYS,36,0,1,0.0,0.0
season,0.0,9,SATAMA,TORI,281,940,1,12.6,1.2
season,0.0,8,MICROTEKNIA,MICROTEKNIA,457,1130,1,11.5,4.2
single,0.05,7,VÄINÖLÄNNIEMI,VÄINÖLÄNNIEMI,20,0,1,0.0,0.0
single,0.3,8,TORI,TORI,339,1160,1,5.8,4.5
season,0.0,7,TORI,KYS,733,2550,0,0.0,4.2
